S/N,Date,Branch,Pizza Type,Quantity,Time,Time Range,Price
1,11-12-2015,California,Meatzaa,5,08:00:01,Before 9:00am,8.00
2,14-12-2015,Nevada,Extravaganza,4,08:00:02,Before 9:00am,8.00
3,04-12-2015,Oregon,BBQ Chicken,5,08:00:04,Before 9:00am,16.00
4,14-12-2015,Nevada,Extravaganza,1,08:00:07,Before 9:00am,8.00
5,07-12-2015,Arizona,Meatzaa,4,08:00:08,Before 9:00am,8.00
6,08-12-2015,Idaho,Hot Veggie,2,08:00:14,Before 9:00am,16.00
7,04-12-2015,California,BBQ Philly Steak,5,08:00:20,Before 9:00am,16.00
8,07-12-2015,Nevada,Chicken Feast,1,08:00:20,Before 9:00am,8.00
9,07-12-2015,Arizona,Meatzaa,3,08:00:22,Before 9:00am,8.00
10,04-12-2015,California,Chicken Suya,5,08:00:25,Before 9:00am,16.00
11,12-12-2015,Oregon,Chicken Legend,5,08:00:26,Before 9:00am,8.00
12,09-12-2015,Arizona,BBQ Philly Steak,4,08:00:27,Before 9:00am,16.00
13,15-12-2015,Arizona,Chicken Suya,2,08:00:29,Before 9:00am,16.00
14,11-12-2015,California,Chicken Feast,5,08:00:33,Before 9:00am,8.00
15,05-12-2015,Idaho,Chicken Feast,4,08:00:33,Before 9:00am,8.00
16,07-12-2015,Oregon,Beef Suya,5,08:00:34,Before 9:00am,12.00
17,08-12-2015,Arizona,Chicken Feast,5,08:00:35,Before 9:00am,8.00
18,14-12-2015,Oregon,Hot Veggie,5,08:00:35,Before 9:00am,16.00
19,11-12-2015,Idaho,Meatzaa,5,08:00:35,Before 9:00am,8.00
20,11-12-2015,California,Meatzaa,2,08:00:36,Before 9:00am,8.00
21,06-12-2015,Oregon,Margarita,3,08:00:37,Before 9:00am,16.00
22,14-12-2015,Idaho,Italiano,5,08:00:40,Before 9:00am,12.00
23,14-12-2015,Arizona,Hot Veggie,2,08:00:45,Before 9:00am,16.00
24,08-12-2015,Nevada,Pepperoni Suya,3,08:00:45,Before 9:00am,12.00
25,09-12-2015,Oregon,Veggie Supreme,5,08:00:48,Before 9:00am,12.00
26,04-12-2015,California,Hot Pepperoni Feast,3,08:00:49,Before 9:00am,16.00
27,09-12-2015,Nevada,Chicken Legend,4,08:00:49,Before 9:00am,8.00
28,03-12-2015,California,BBQ Philly Steak,1,08:00:52,Before 9:00am,16.00
29,14-12-2015,Nevada,Hot Pepperoni Feast,2,08:00:56,Before 9:00am,16.00
30,06-12-2015,Oregon,Chicken Bali,4,08:00:56,Before 9:00am,8.00
31,03-12-2015,Oregon,Chicken Feast,3,08:00:57,Before 9:00am,8.00
32,05-12-2015,Nevada,Veggie Supreme,2,08:00:57,Before 9:00am,12.00
33,13-12-2015,Arizona,Extravaganza,4,08:01:00,Before 9:00am,8.00
34,13-12-2015,California,Pepperoni Suya,4,08:01:01,Before 9:00am,12.00
35,04-12-2015,Arizona,Veggie Supreme,2,08:01:02,Before 9:00am,12.00
36,08-12-2015,Nevada,Extravaganza,2,08:01:08,Before 9:00am,8.00
37,11-12-2015,Oregon,Italiano,2,08:01:14,Before 9:00am,12.00
38,09-12-2015,Oregon,BBQ Philly Steak,2,08:01:16,Before 9:00am,16.00
39,14-12-2015,California,Pepperoni Feast,5,08:01:16,Before 9:00am,16.00
40,05-12-2015,Oregon,Chicken Bali,4,08:01:17,Before 9:00am,8.00
41,05-12-2015,Oregon,Pepperoni Suya,2,08:01:18,Before 9:00am,12.00
42,10-12-2015,Arizona,BBQ Philly Steak,5,08:01:20,Before 9:00am,16.00
43,12-12-2015,Idaho,Chicken Bali,3,08:01:21,Before 9:00am,8.00
44,11-12-2015,Arizona,Italiano,5,08:01:22,Before 9:00am,12.00
45,10-12-2015,Arizona,BBQ Philly Steak,4,08:01:26,Before 9:00am,16.00
46,08-12-2015,Oregon,Hot Pepperoni Feast,5,08:01:28,Before 9:00am,16.00
47,09-12-2015,Oregon,Chicken Legend,2,08:01:31,Before 9:00am,8.00
48,07-12-2015,Oregon,Chicken Bali,2,08:01:32,Before 9:00am,8.00
49,12-12-2015,Oregon,BBQ Philly Steak,1,08:01:34,Before 9:00am,16.00
50,06-12-2015,Idaho,BBQ Chicken,4,08:01:34,Before 9:00am,16.00
51,05-12-2015,Nevada,Pepperoni Feast,4,08:01:35,Before 9:00am,16.00
52,12-12-2015,Arizona,BBQ Philly Steak,1,08:01:36,Before 9:00am,16.00
53,14-12-2015,California,BBQ Philly Steak,4,08:01:36,Before 9:00am,16.00
54,14-12-2015,California,Pepperoni Suya,2,08:01:37,Before 9:00am,12.00
55,08-12-2015,Arizona,Veggie Supreme,5,08:01:37,Before 9:00am,12.00
56,03-12-2015,Idaho,Chicken Suya,5,08:01:39,Before 9:00am,16.00
57,05-12-2015,Idaho,Margarita,4,08:01:43,Before 9:00am,16.00
58,13-12-2015,Idaho,Chicken Bali,5,08:01:44,Before 9:00am,8.00
59,09-12-2015,Arizona,Meatzaa,5,08:01:44,Before 9:00am,8.00
60,09-12-2015,Idaho,BBQ Philly Steak,3,08:01:46,Before 9:00am,16.00
61,11-12-2015,Oregon,Pepperoni Suya,5,08:01:48,Before 9:00am,12.00
62,06-12-2015,Arizona,Chicken Feast,5,08:01:49,Before 9:00am,8.00
63,11-12-2015,Arizona,Chicken Feast,4,08:01:52,Before 9:00am,8.00
64,05-12-2015,Arizona,Chicken Suya,2,08:01:54,Before 9:00am,16.00
65,14-12-2015,California,Chicken Legend,3,08:01:55,Before 9:00am,8.00
66,15-12-2015,Nevada,Chicken Feast,4,08:01:56,Before 9:00am,8.00
67,10-12-2015,Oregon,Chicken Bali,1,08:02:03,Before 9:00am,8.00
68,08-12-2015,Nevada,Pepperoni Suya,1,08:02:03,Before 9:00am,12.00
69,14-12-2015,Oregon,Pepperoni Feast,3,08:02:04,Before 9:00am,16.00
70,03-12-2015,California,Beef Suya,3,08:02:05,Before 9:00am,12.00
71,03-12-2015,Idaho,BBQ Chicken,1,08:02:06,Before 9:00am,16.00
72,10-12-2015,Nevada,Pepperoni Feast,3,08:02:10,Before 9:00am,16.00
73,07-12-2015,California,Pepperoni Feast,5,08:02:13,Before 9:00am,16.00
74,08-12-2015,Nevada,BBQ Chicken,2,08:02:13,Before 9:00am,16.00
75,06-12-2015,Arizona,Extravaganza,5,08:02:18,Before 9:00am,8.00
76,09-12-2015,Oregon,Chicken Legend,1,08:02:18,Before 9:00am,8.00
77,06-12-2015,Nevada,Pepperoni Suya,2,08:02:22,Before 9:00am,12.00
78,13-12-2015,Arizona,Hot Veggie,2,08:02:22,Before 9:00am,16.00
79,07-12-2015,Oregon,Extravaganza,3,08:02:30,Before 9:00am,8.00
80,04-12-2015,Idaho,Chicken Suya,3,08:02:31,Before 9:00am,16.00
81,03-12-2015,California,Pepperoni Feast,5,08:02:35,Before 9:00am,16.00
82,12-12-2015,Nevada,Pepperoni Feast,3,08:02:36,Before 9:00am,16.00
83,04-12-2015,Oregon,BBQ Chicken,3,08:02:37,Before 9:00am,16.00
84,08-12-2015,California,BBQ Philly Steak,4,08:02:38,Before 9:00am,16.00
85,05-12-2015,Oregon,Hot Veggie,5,08:02:38,Before 9:00am,16.00
86,13-12-2015,Oregon,Chicken Bali,1,08:02:42,Before 9:00am,8.00
87,05-12-2015,California,Beef Suya,2,08:02:44,Before 9:00am,12.00
88,04-12-2015,Idaho,BBQ Philly Steak,2,08:02:46,Before 9:00am,16.00
89,07-12-2015,Nevada,Veggie Supreme,4,08:02:47,Before 9:00am,12.00
90,09-12-2015,Idaho,Chicken Suya,1,08:02:47,Before 9:00am,16.00
91,10-12-2015,California,BBQ Chicken,5,08:02:49,Before 9:00am,16.00
92,07-12-2015,Nevada,BBQ Philly Steak,4,08:02:50,Before 9:00am,16.00
93,14-12-2015,California,Meatzaa,5,08:02:50,Before 9:00am,8.00
94,05-12-2015,Arizona,Hot Veggie,5,08:02:55,Before 9:00am,16.00
95,11-12-2015,Nevada,Italiano,2,08:03:00,Before 9:00am,12.00
96,04-12-2015,Nevada,BBQ Philly Steak,3,08:03:01,Before 9:00am,16.00
97,04-12-2015,Idaho,Chicken Legend,1,08:03:02,Before 9:00am,8.00
98,14-12-2015,Idaho,Hot Pepperoni Feast,2,08:03:05,Before 9:00am,16.00
99,05-12-2015,Arizona,Hot Pepperoni Feast,4,08:03:05,Before 9:00am,16.00
100,15-12-2015,Nevada,BBQ Philly Steak,4,08:03:09,Before 9:00am,16.00
101,14-12-2015,Oregon,Veggie Supreme,3,08:03:10,Before 9:00am,12.00
102,04-12-2015,Idaho,Chicken Suya,5,08:03:10,Before 9:00am,16.00
103,07-12-2015,Nevada,Pepperoni Suya,5,08:03:15,Before 9:00am,12.00
104,05-12-2015,Idaho,Chicken Bali,4,08:03:17,Before 9:00am,8.00
105,09-12-2015,Arizona,Extravaganza,4,08:03:18,Before 9:00am,8.00
106,14-12-2015,California,Veggie Supreme,5,08:03:22,Before 9:00am,12.00
107,11-12-2015,Arizona,Pepperoni Feast,3,08:03:25,Before 9:00am,16.00
108,08-12-2015,Arizona,Chicken Suya,5,08:03:26,Before 9:00am,16.00
109,12-12-2015,Idaho,Italiano,1,08:03:27,Before 9:00am,12.00
110,05-12-2015,Nevada,Margarita,4,08:03:28,Before 9:00am,16.00
111,07-12-2015,Idaho,Chicken Suya,5,08:03:29,Before 9:00am,16.00
112,09-12-2015,California,Meatzaa,4,08:03:29,Before 9:00am,8.00
113,03-12-2015,Oregon,Veggie Supreme,2,08:03:31,Before 9:00am,12.00
114,05-12-2015,Nevada,Chicken Bali,3,08:03:32,Before 9:00am,8.00
115,09-12-2015,Arizona,Italiano,3,08:03:32,Before 9:00am,12.00
116,06-12-2015,Oregon,Hot Pepperoni Feast,4,08:03:32,Before 9:00am,16.00
117,10-12-2015,Idaho,Pepperoni Suya,4,08:03:33,Before 9:00am,12.00
118,03-12-2015,California,Beef Suya,3,08:03:36,Before 9:00am,12.00
119,07-12-2015,Oregon,Veggie Supreme,5,08:03:39,Before 9:00am,12.00
120,13-12-2015,Idaho,Italiano,4,08:03:44,Before 9:00am,12.00
121,07-12-2015,California,Hot Pepperoni Feast,2,08:03:44,Before 9:00am,16.00
122,10-12-2015,Arizona,Chicken Suya,2,08:03:52,Before 9:00am,16.00
123,12-12-2015,Oregon,Veggie Supreme,4,08:03:53,Before 9:00am,12.00
124,03-12-2015,California,Meatzaa,4,08:03:54,Before 9:00am,8.00
125,03-12-2015,California,Hot Veggie,5,08:03:54,Before 9:00am,16.00
126,13-12-2015,Nevada,BBQ Philly Steak,4,08:03:54,Before 9:00am,16.00
127,11-12-2015,Nevada,Beef Suya,1,08:03:57,Before 9:00am,12.00
128,08-12-2015,Oregon,Veggie Supreme,3,08:04:00,Before 9:00am,12.00
129,12-12-2015,Oregon,Hot Veggie,2,08:04:01,Before 9:00am,16.00
130,10-12-2015,Arizona,Margarita,4,08:04:04,Before 9:00am,16.00
131,10-12-2015,California,Chicken Legend,1,08:04:07,Before 9:00am,8.00
132,06-12-2015,Arizona,Veggie Supreme,1,08:04:13,Before 9:00am,12.00
133,11-12-2015,Idaho,Hot Veggie,5,08:04:14,Before 9:00am,16.00
134,07-12-2015,Oregon,Pepperoni Suya,4,08:04:18,Before 9:00am,12.00
135,15-12-2015,Arizona,BBQ Philly Steak,4,08:04:18,Before 9:00am,16.00
136,11-12-2015,Arizona,Meatzaa,5,08:04:19,Before 9:00am,8.00
137,03-12-2015,California,Beef Suya,2,08:04:20,Before 9:00am,12.00
138,06-12-2015,California,Pepperoni Feast,5,08:04:21,Before 9:00am,16.00
139,05-12-2015,California,BBQ Philly Steak,2,08:04:21,Before 9:00am,16.00
140,04-12-2015,Arizona,Margarita,1,08:04:21,Before 9:00am,16.00
141,15-12-2015,Oregon,Chicken Suya,2,08:04:24,Before 9:00am,16.00
142,13-12-2015,Oregon,Chicken Bali,2,08:04:27,Before 9:00am,8.00
143,03-12-2015,Oregon,Margarita,3,08:04:28,Before 9:00am,16.00
144,15-12-2015,Nevada,Pepperoni Feast,5,08:04:35,Before 9:00am,16.00
145,11-12-2015,Nevada,Pepperoni Feast,3,08:04:35,Before 9:00am,16.00
146,13-12-2015,Nevada,Beef Suya,1,08:04:40,Before 9:00am,12.00
147,12-12-2015,California,Hot Pepperoni Feast,5,08:04:41,Before 9:00am,16.00
148,08-12-2015,Nevada,Pepperoni Suya,1,08:04:42,Before 9:00am,12.00
149,15-12-2015,Oregon,Chicken Suya,3,08:04:43,Before 9:00am,16.00
150,05-12-2015,Idaho,Hot Pepperoni Feast,2,08:04:44,Before 9:00am,16.00
151,14-12-2015,California,Chicken Legend,5,08:04:45,Before 9:00am,8.00
152,04-12-2015,Idaho,Extravaganza,5,08:04:50,Before 9:00am,8.00
153,14-12-2015,Arizona,Beef Suya,2,08:04:50,Before 9:00am,12.00
154,10-12-2015,Oregon,Extravaganza,4,08:04:53,Before 9:00am,8.00
155,11-12-2015,Oregon,Pepperoni Suya,2,08:04:55,Before 9:00am,12.00
156,09-12-2015,California,BBQ Philly Steak,3,08:04:56,Before 9:00am,16.00
157,06-12-2015,Arizona,Italiano,1,08:04:56,Before 9:00am,12.00
158,15-12-2015,Nevada,Extravaganza,1,08:05:00,Before 9:00am,8.00
159,06-12-2015,Idaho,BBQ Philly Steak,2,08:05:03,Before 9:00am,16.00
160,13-12-2015,Arizona,Italiano,1,08:05:06,Before 9:00am,12.00
161,13-12-2015,Idaho,Chicken Legend,2,08:05:10,Before 9:00am,8.00
162,07-12-2015,Nevada,Italiano,4,08:05:11,Before 9:00am,12.00
163,12-12-2015,California,Hot Veggie,4,08:05:11,Before 9:00am,16.00
164,06-12-2015,California,Chicken Feast,3,08:05:11,Before 9:00am,8.00
165,09-12-2015,Nevada,Meatzaa,2,08:05:12,Before 9:00am,8.00
166,15-12-2015,Nevada,Margarita,5,08:05:12,Before 9:00am,16.00
167,05-12-2015,Oregon,Hot Pepperoni Feast,5,08:05:14,Before 9:00am,16.00
168,12-12-2015,California,BBQ Chicken,3,08:05:23,Before 9:00am,16.00
169,07-12-2015,Oregon,Hot Pepperoni Feast,5,08:05:23,Before 9:00am,16.00
170,03-12-2015,Nevada,Chicken Legend,4,08:05:23,Before 9:00am,8.00
171,13-12-2015,Idaho,Chicken Bali,3,08:05:25,Before 9:00am,8.00
172,07-12-2015,Idaho,Chicken Suya,5,08:05:25,Before 9:00am,16.00
173,10-12-2015,Idaho,Hot Pepperoni Feast,4,08:05:25,Before 9:00am,16.00
174,14-12-2015,Idaho,Hot Pepperoni Feast,2,08:05:28,Before 9:00am,16.00
175,14-12-2015,Arizona,Chicken Feast,1,08:05:32,Before 9:00am,8.00
176,12-12-2015,Oregon,BBQ Chicken,2,08:05:34,Before 9:00am,16.00
177,06-12-2015,Nevada,Extravaganza,1,08:05:34,Before 9:00am,8.00
178,05-12-2015,California,Meatzaa,2,08:05:34,Before 9:00am,8.00
179,15-12-2015,Nevada,Pepperoni Feast,3,08:05:37,Before 9:00am,16.00
180,09-12-2015,Arizona,Hot Pepperoni Feast,1,08:05:38,Before 9:00am,16.00
181,13-12-2015,California,BBQ Chicken,3,08:05:39,Before 9:00am,16.00
182,12-12-2015,California,BBQ Chicken,4,08:05:40,Before 9:00am,16.00
183,11-12-2015,Nevada,Chicken Feast,3,08:05:41,Before 9:00am,8.00
184,04-12-2015,Idaho,Beef Suya,1,08:05:41,Before 9:00am,12.00
185,10-12-2015,Idaho,Extravaganza,1,08:05:43,Before 9:00am,8.00
186,06-12-2015,Idaho,Pepperoni Feast,2,08:05:44,Before 9:00am,16.00
187,14-12-2015,Arizona,Beef Suya,4,08:05:46,Before 9:00am,12.00
188,11-12-2015,Idaho,Veggie Supreme,3,08:05:47,Before 9:00am,12.00
189,10-12-2015,Arizona,Meatzaa,5,08:05:51,Before 9:00am,8.00
190,06-12-2015,Arizona,Chicken Bali,3,08:05:53,Before 9:00am,8.00
191,15-12-2015,Arizona,Pepperoni Suya,1,08:05:53,Before 9:00am,12.00
192,15-12-2015,Nevada,Pepperoni Suya,5,08:05:55,Before 9:00am,12.00
193,03-12-2015,Nevada,Veggie Supreme,3,08:05:55,Before 9:00am,12.00
194,12-12-2015,Arizona,BBQ Philly Steak,3,08:05:56,Before 9:00am,16.00
195,03-12-2015,Arizona,Margarita,4,08:06:00,Before 9:00am,16.00
196,13-12-2015,Oregon,BBQ Chicken,4,08:06:01,Before 9:00am,16.00
197,10-12-2015,Oregon,Beef Suya,1,08:06:01,Before 9:00am,12.00
198,07-12-2015,California,BBQ Chicken,1,08:06:03,Before 9:00am,16.00
199,12-12-2015,Nevada,Beef Suya,4,08:06:07,Before 9:00am,12.00
200,08-12-2015,Arizona,Pepperoni Feast,3,08:06:08,Before 9:00am,16.00
201,07-12-2015,Oregon,Hot Pepperoni Feast,2,08:06:10,Before 9:00am,16.00
202,14-12-2015,Idaho,Hot Pepperoni Feast,4,08:06:10,Before 9:00am,16.00
203,05-12-2015,Arizona,Pepperoni Feast,3,08:06:12,Before 9:00am,16.00
204,14-12-2015,Oregon,Chicken Bali,5,08:06:22,Before 9:00am,8.00
205,09-12-2015,Arizona,BBQ Chicken,5,08:06:22,Before 9:00am,16.00
206,10-12-2015,Nevada,Chicken Legend,2,08:06:28,Before 9:00am,8.00
207,07-12-2015,California,Hot Veggie,5,08:06:30,Before 9:00am,16.00
208,10-12-2015,California,BBQ Philly Steak,4,08:06:32,Before 9:00am,16.00
209,12-12-2015,California,Margarita,4,08:06:33,Before 9:00am,16.00
210,03-12-2015,California,Meatzaa,1,08:06:33,Before 9:00am,8.00
211,10-12-2015,Arizona,Extravaganza,5,08:06:37,Before 9:00am,8.00
212,06-12-2015,Arizona,Meatzaa,4,08:06:37,Before 9:00am,8.00
213,09-12-2015,Arizona,BBQ Chicken,2,08:06:40,Before 9:00am,16.00
214,03-12-2015,Arizona,Veggie Supreme,3,08:06:45,Before 9:00am,12.00
215,11-12-2015,Nevada,BBQ Chicken,5,08:06:46,Before 9:00am,16.00
216,08-12-2015,Nevada,BBQ Philly Steak,2,08:06:46,Before 9:00am,16.00
217,14-12-2015,Nevada,Margarita,1,08:06:50,Before 9:00am,16.00
218,11-12-2015,California,Hot Veggie,5,08:06:50,Before 9:00am,16.00
219,08-12-2015,Arizona,Chicken Legend,5,08:06:51,Before 9:00am,8.00
220,10-12-2015,Nevada,Hot Veggie,3,08:06:53,Before 9:00am,16.00
221,15-12-2015,Nevada,Chicken Legend,5,08:06:54,Before 9:00am,8.00
222,13-12-2015,Idaho,Veggie Supreme,4,08:06:55,Before 9:00am,12.00
223,10-12-2015,Nevada,Pepperoni Suya,3,08:06:57,Before 9:00am,12.00
224,13-12-2015,Idaho,Meatzaa,4,08:07:00,Before 9:00am,8.00
225,03-12-2015,Arizona,Chicken Bali,2,08:07:03,Before 9:00am,8.00
226,12-12-2015,California,Veggie Supreme,3,08:07:03,Before 9:00am,12.00
227,07-12-2015,Oregon,Hot Pepperoni Feast,5,08:07:04,Before 9:00am,16.00
228,10-12-2015,Oregon,BBQ Philly Steak,5,08:07:04,Before 9:00am,16.00
229,03-12-2015,Arizona,Margarita,2,08:07:05,Before 9:00am,16.00
